Timestamp,What name do you want to be listed by?,What is your Mastodon handle (@user@instance.name)?,Do you have a Twitter handle you would like to share? (This can help people you know on Twitter to find you on Mastodon),"What are your main areas of specialization or interest (legal theory, tort law, international tax, etc.)?",Jurisdictions of interest?,Other info for short self-description,"If another list of Mastodon accounts is created that overlaps with those interested in law is created, may we share the info here with that list?"
11/13/2022 10:36:54,Joseph Fishkin,@fishkin@mas.to,@joeyfishkin,"constitutional law, employment discrimination, election law, equal opportunity, political economy",,Law professor at UCLA.  http://www.anti-oligarchy.com,Yes

11/13/2022 11:34:00,Ryan Goodman,@RyanGoodman@journa.host,@rgoodlaw,National security law,,NYU law professor; co-editor-in-chief of Just Security,Yes

11/13/2022 13:31:54,Todd Brown,@stbrown@mastodon.lawprofs.org,@SToddBrown2,"Bankruptcy, Mass Torts, Contracts, Torts, BA",U.S.,"Academic Dean and Professor, Buffalo Law",Yes

11/13/2022 13:43:37,Rohan Grey,@rohan@social.rohangrey.net,@rohangrey,"money, banking, technology, digital currency","Federal, Oregon","Ass't Professor of Law, Willamette Law",Yes

11/13/2022 15:14:39,Peter Edge,@edge_law@ohai.social,@edge_law,"Constitutional Law, Law and Religion.","UK, ECHR, Isle of Man, Crown Dependencies",,Yes

11/13/2022 15:23:01,Stella Coyle,@DrCoyle@mas.to,@DrStellaCoyle,"Legal education, public law, criminal law, sexuality and religion conflicts ","England and Wales, United Kingdom ","Law lecturer, Keele",Yes

11/13/2022 15:27:06,Alex powell ,@ApowellLaw@mastodonAppUK,APowellLaw,Gender sexuality and Law; Refugee Law; Queer Theory; critical approaches to law.,Uk; US; Manx; Nepal ,"Lecturer in Law, Oxford Brookes University ",Yes

11/13/2022 16:51:11,Frank Cranmer,@frankcranmer@mastodon.scot,@frank_cranmer,law and religion,"UK, ECtHR, Australian, NZ, Canada","Case-notes editor for ""Law & Justice"": Parliamentary & Synod editor for ""Ecclesiastical Law Journal""",Yes

11/13/2022 19:01:46,Jonathan Joshua,@jsjoshua@law.builders,@jonathansjoshua,Consumer Financial Services,United States,"2x former consumer fintech GC, now in private practice",No

11/13/2022 19:57:29,Gavin Elliott ,@sgelliott@mastodon.ie ,@sgellioty,Housing and Environmental Law ,Ireland ,Irish Barrister working in the NGO sector. ,Yes

11/13/2022 21:38:44,Danish Sheikh,@dsheikh@hcommons.social,@dsheikh726,"law and humanities, queer and feminist legal theory, law and theatre, law and social movements","Global (with current project: US, India, Australia, UK)","PhD Candidate, Melbourne Law School",Yes

11/13/2022 21:53:56,Sabrina McCubbin,@smccub@mastodon.online,@SabrinaMcCubbin,"national security law, FISA",,,No

11/14/2022 6:34:03,Corinne Blalock,@corinneblalock@mastodon.social,@corinneblalock,law and political economy ,,,Yes

11/14/2022 8:43:30,Georgia Jenkins,@IPQuokka@aus.social,@IPQuokka,"IP law, copyright, platform liability, trade mark law","UK, EU, Australia, US, Canada",,Yes

11/14/2022 8:50:08,Hannah Robert,@HannahRobert@mas.to,@Hannah_S_Robert,"Family law - particularly legal parentage in diverse / queer / assisted reproductive treatment families and where there has been uncertainty regarding a child's genetic parentage.  Health law, particularly around reproductive rights, end of life and mental health law & bioethics. Health & Safety law, particularly mental health and wellbeing in the workplace. Contract law & remedies.","Particularly Australia, UK, NZ","Senior Lecturer at La Trobe Law School, Melbourne. ",Yes

11/14/2022 11:12:50,Greg Gentry,@greggentry@esq.social,@greggentry1,"FDA regulation, off-label promotion, business torts and contract litigation",US and EU,Based in Minnesota,Yes

11/14/2022 11:45:48,Jennifer Oliva,@jennoliva@mastodon.social,@jenndoliva,"Health Law, Privacy, Torts, Evidence, Complex Litigation",,,Yes

11/14/2022 11:50:41,Brandon Mark,@saltlakelawyer@mastodon.online,@SaltLakeLawyer,Qui Tam/Whistleblower; Corporate Litigation,Utah; Oregon; Federal Courts,,Yes

11/14/2022 12:23:54,Stephanie Harris,@sharris@mstdn.social,@mllesharris,"Research contracts, regulation and legislation in UK HEIs; IP; data protection",England and Wales,"In-house solicitor at a London university, supporting academic research",Yes

11/14/2022 14:32:59,Liwen Mah,@LiwenMah@sfba.social,@LiwenMah,"IP, litigation, environmental, Internet & technology, conservation",U.S.,,Yes

11/14/2022 20:08:23,Jim Sfekas,@jsfe@infosec.exchange,@jsfe,"Cybersecurity, privacy, tech law",US,,Yes

11/15/2022 4:48:01,Eduardo Baker,@_ardobaker@mastodon.social,@_ardobaker,Human Rights; Philosophy of Law; History of Law; Legal Theory; Criminal Law,"International human rights systems (United Nations, Inter-American)); Brazil",,Yes

11/15/2022 9:32:41,Georg Kleine,@veraendert@legal.social,Veraendert@legal.social,data protection law,"Germany, EU, UK, US",Lawyer. Teaching law at BAkÃ¶V.,Yes

11/15/2022 11:28:54,Tamar Megiddo,@TamarMegiddo@tooot.im,@TamarMegiddo,"Public international law, law and technology, migration law",,,Yes

11/15/2022 12:58:37,Hannah Ruschemeier,@hannahruschemeier@fediverse.org,@HannahRusc,"public law, privacy, data protection, law of digitalisation & technology, German law, legal theory ",,,Yes

11/15/2022 13:51:44,Jason Wilson,@jasonewilson@mastodon.social,@jasnwilsn,"Legal Publisher, Construction Lawyer, Author, Speaker","Federal, Texas","Co-founder of Bearings Legal Resources. Former V.P., O'Connor's.",Yes

11/15/2022 14:59:24,Brenda Johnson (nolo),@nolo@mastodon.world,@nolo1993,"law and politics, legal ethics, law and policy, appellate law, legal history, civil rights","Ohio, Federal",,Yes

11/15/2022 19:43:57,JT Morris,@jtmorris@masthead.social,@jtmorristx,"First Amendment, defamation, qualified immunity/Section 1983.",United States,,Yes

11/15/2022 19:46:38,Greg Shill,@gshill@econtwitter.net,@greg_shill,"Corporate law, securities law, local government law, transportation, cities",,Professor at Iowa Law,Yes

11/15/2022 19:59:22,David Sears,@D_Sears@mastadon.social,@D_Sears@twitter.com,"Law & Technology, Trademarks, Privacy, IP, Internet Culture","USA generally, privacy and internet issues span globally on occasion",,Yes

11/15/2022 19:59:31,Ury Fischer,@ury@mas.to,@ufischer,Intellectual Property,"United States, Europe",,Yes

11/15/2022 20:06:02,Mark Lemley,@marklemley@lawprofs.org,marklemley,intellectual property,US,"William H. Neukom Professor, Stanford Law School",Yes

11/15/2022 20:09:35,Harry Surden,@HarrySurden@mstdn.social,@HarrySurden,"Artificial Intelligence and Law, Technology Law, Intellectual Property Law, Privacy Law",,"I am a law professor at the University of Colorado, and former software engineer, whose scholarship examines the intersection of technology and law.",Yes

11/15/2022 20:12:12,Eli Edwards,@misseli@mastodon.sandwich.net,miss_eli,"law librarianship, legal technology, legislative history","California, 9th Circuit","JD - Santa Clara U; MLIS - San Jose State; currently at UCLA; loves: free law; open access; dark chocolate, e-bikes",Yes

11/15/2022 20:11:55,Grant R. Gulovsen,@gulovsen@cryptodon.lol,@gulovsen,"Intellectual Property, Decentralized Governance, Cryptocurrency Law",Illinois,Lawyer in Private Practice; U.S. Army Combat Veteran; Vegetarian; Goofy Dad; Owner of One Too Many Cats,Yes

11/15/2022 20:12:37,USAnwat,@USAnwalt@mindly.social,USAnwalt,"international business law, IP, IT","USA, Germany, Malta","DC lawyer admitted in DC and Germany (kochinke.us, kochinke.com)",Yes

11/15/2022 20:29:56,Yvette Liebesman,@Yvettejoy@nerdculture.de,,Intellectual Property Law,,"Law professor, artist, bicyclist ",Yes

11/15/2022 20:33:57,Pamela Samuelson,@pamelasuelson@mas.to,@PamelaSamuelson,Intellectual property & internet law,US,Chair of Board of Electronic Frontier Foundation & President of Authors alliance ,Yes

11/15/2022 20:34:04,Tiffany Yang,@yang@mastodon.lawprofs.org,@yangesq,"civil rights and procedure, prisons, social movements, abolition, critical race theory",US,,Yes

11/15/2022 20:44:44,Curtis,@ip_paralegal@universeodon.com,@ip_paralegal,"intellectual property, inhouse legal, patent, trademark, copyright, domain name enforcement",,,Yes

11/15/2022 21:13:12,MC Forelle,@mcforelle@sciences.social,@mcforelle,"Intellectual property, science and technology studies (STS)",,"Assistant professor of science and technology studies, University of Virginia",Yes

11/15/2022 21:34:42,Anupam Chander,@AnupamChander@mastodon.lawprofs.org,@anupamchander,"Technology and Law, International Economic Law","US, EU, China, Global South","Law professor, Georgetown University",Yes

11/15/2022 21:43:36,Clara Roberts ,@Claraeroberts@lor.sh ,,Insurance defense/ construction defect; politics; voting rights; equality; integrity of justice system,"California, Montana ",,Yes

11/15/2022 22:11:51,Jacob Noti-Victor,@jnvictor@mastodon.lawprofs.org,@jacobmvictor,Intellectual property ,,Associate Professor at Cardozo Law School,Yes

11/15/2022 22:13:28,Amanda Reilly,@AmandaReilly@cloudisland.nz,@AmandaReillyNZ,"labour law, employment law, work law, privacy, law and technology law",New Zealand but interested in everywhere,I am generally interested in all things work related,Yes

11/15/2022 22:17:27,Teneille Brown,@Teneille@mastodon.lawprofs.org,@TeneilleBrown,"law and biosciences, medical ethics, evidence, torts",,"Associate Dean of Faculty Research and Development, discovering I love mentoring",Yes

11/15/2022 22:53:47,Sonya Elaine Herridge,@sonyah@mastodon.online,SonyaHerridge,"International Law, Immigration Law, Asylum Law","Federal, International","JD, LLM",Yes

11/16/2022 4:56:22,Ingrid King,@ingridjking@aus.social,@ingridjking,Corporate Law,Australia,Barrister and Lecturer at Sydney University,Yes

11/16/2022 7:39:35,Dorothea Endres,@endresdo@mastodon.social,EndresDo,"legal theory, international law, Human Rights, BHR, political economy, data protection, digital sphere, investment law","international, CH, D, Fr",,Yes

11/16/2022 8:11:51,Dave Diamond,@davediamondlaw@masto/ai,,Trusts and Estates,"California, USA",Sole practitioner,Yes

11/16/2022 10:08:33,Lorna Woods,@LornaWoods@mas.to,,"media and communications; competition law; freedom of expression, privacy and data protection",E&W; EU/CoE,Professor of Internet Law,Yes

11/16/2022 10:09:43,Yasmin Voglewede,@lekiare@c.im,@lekiare,Immigration Law,"Immigration, Disability Rights","I am disabled and I'm an immigration attorney with my own practice. I write about a lot of random things, but I mainly boost or publish stuff regarding law, Disability Rights, and about the entertainment industry. I love movies!",Yes

11/16/2022 11:35:50,Ric Flaggert,@rflaggert@mastodon.social,@rflaggert,"Data Privacy/Cybersecurity, IP","US/Americas, UK, Ireland, Canada, EU","Attorney (US), Solicitor (England & Wales; Ireland; Canada), & Barrister (Canada). Adjunct (@nusl)",Yes

11/16/2022 13:56:35,Judith S.,@Judith_IP@mastodon.social,Judith_IP,"patents, licensing, copyrights, intellectual property",,,Yes

11/16/2022 14:29:13,Jim Rennie,@falconred@mastodon.social,@falconred,"Privacy law, data protection","US, EU, CA, CN, JP, AU, AZ, UK",In house practitioner with over 12 years specializing in privacy law and compliance,Yes

11/16/2022 14:52:41,Bridget Crawford,@ProfBCrawford@mastodon.ie,@ProfBCrawford,"tax, trusts & estates, feminist legal theory",,,Yes

11/16/2022 15:26:25,ooblick,@ooblick@toad.social,,"data security, privacy, government contracts, disability rights","federal, DC",disabled progressive cynic,Yes

11/16/2022 15:59:23,Maroussia LÃ©vesque,@maroussia@mastodon.social,,"AI governance, tech law, discrimination","US, EU, Canada",researching AI governance and legislation,Yes

11/16/2022 16:06:15,Jessie Bregant,@jessiebregant@mastodon.lawprofs.org,@JessieBregant,"Law & Psych, Dispute Resolution, Property, Crim Pro",,,Yes

11/16/2022 16:14:46,Monica Carmean,@MonicaCarmean@toot.wales,@MonicaCarmean,"Policy, Legislation, Constitutional Law",SCOTUS,@GeorgetownLaw @NorthwesternU @UChicago @ObamaWhiteHouse @SenateDems Alum,Yes

11/16/2022 17:08:57,Cathy Hwang,@cathyhwang@mastodon.lawprofs.org,Cathyhwang47,"Corporate, M&A, contracts",,UVA Law Prof ,Yes

11/16/2022 17:13:08,Bailey Ulbricht,@Baileyu@mstdn.social,,"IHL, international human rights, US foreign policy ",,Founding Executive Director of Stanford Lawâs Humanitarian Program. ,Yes

11/16/2022 17:36:53,Matt Henry,@heymatthenry@indieweb.social,@heymatthenry,"Criminal law, algorithmic accountability, legal theory, law & technology","MA, NC, Federal","Former MA public defender, current government technologist ",Yes

11/16/2022 17:41:14,Jocelyn Bosse,@jocelynbosse@mastodon.lawprofs.org,@JocelynBosse,Intellectual property,"United Kingdom, EU, USA, Australia","Researching intellectual property for plants, food, and agriculture. Teaching patents, trademarks, and geographical indications.",Yes

11/17/2022 11:42:17,Michael Karanicolas,@karanicolas@mastodon.social,@M_Karanicolas,Tech,International,"I am the Executive Director of the UCLA Institute for Technology, Law & Policy and an affiliated fellow with the Yale Information Society Project.",Yes

11/17/2022 11:48:23,"UCLA Institute for Technology, Law & Policy",@UCLATech@mastodon.social,@UCLATech,Tech law and policy,USA and international,"The Institute for Technology, Law and Policy is a collaboration between the UCLA School of Law and the Samueli School of Engineering whose mission is to foster research and analysis to ensure that new technologies are developed, implemented and regulated in ways that are socially beneficial, equitable, and accountable.",Yes

11/17/2022 14:24:07,Christine Haight Farley,@christinefarley@mastodon.online,@Prof_Farley,"IP, trademark, copyright, design, art law, advertising law, contracts",US & Int'l law,law prof at American University in DC,Yes

11/17/2022 17:32:48,Andrew Tettenborn,@seatradelaw@journa.host,@seatradelaw,"Shipping, commercial law, private law",England,"Prof Commercial Law, Swansea Uni",Yes

11/17/2022 19:47:17,Alisher Juzgenbayev ,@alisher@sciences.social,@juzgenbai,"Comparative Law, Civil Rights, Judicial Independence",International,"A J.D./Ph.D. candidate (political science), studying judicial legitimacy, legal profession, and democracy in Eurasia and the US",Yes

11/17/2022 20:59:18,Johann Kwan,@JohannKwan@c.im,@JohannKwan,"Tech, small business, national security, cybersecurity, international","Canada, Ontario",Asian Canadian tech lawyer operating a small practice catered for small businesses. Natsec and Cybersec law nerd in a previous life.,Yes

11/17/2022 21:00:33,Jordan Perkins,@jordanlperkins@mastodon.online,@jordanlperkins,"Administrative law, public law theory",,,Yes

11/17/2022 21:05:49,Kat Boettcher ,@LazyCircles.mstdn.social,@LazyCircles ,Disability and federal law,U.S.,Fighting the US government for disabled folks.,Yes

11/17/2022 21:18:09,Manoj Mate,@manojmate@mastodon.lawprofs.org,manojmate,"Constitutional Law, Election Law, Voting Rights, Comparative Constitutional Law ","U.S. federal, U.S. states, comparative law, Asia, India, Global South","Associate Prof and Faculty Director, Racial Justice Initiative at DePaul Law",Yes

11/17/2022 21:22:22,Bridgette Carr,@BridgetteCarr@mastodon.lawprofs.org,@Bridgette_Carr,"Human Trafficking, Legal Design",,,Yes

11/17/2022 21:24:28,Jennifer Soble,@jennifersoble@mastodon.social,@jsoble1,"Post-Conviction, Criminal Defense, Clemency, Parole, Administrative Advocacy, Prison Law","Illinois, Michigan, Federal",,Yes

11/17/2022 21:46:08,Chris Carpenter ,@Chris4short@mastodon.social,@chris4short_,"International law, international litigation, law & technology, human rights, privacy law",Any ,,Yes

11/17/2022 21:54:51,Terri Gerstein,@TerriGerstein@mastodon.social,@TerriGerstein,"employment,  workers' rights ",state/local work in USA ,,Yes

11/17/2022 21:56:52,Aseem Chipalkatti,@achipalk@mastodon.social,@achipalk,"Litigation, Antitrust, Civil Rights, ConLaw, Legal Writing, Appellate",All,Recent law school graduate indebted to #lawtwitter and #appellatetwitter as unofficial casebooks. I'm here for the legal memes as well,Yes
